EnglishDayNameOfWeek,EnglishMonthName,FrenchDayNameOfWeek,FrenchMonthName,SpanishDayNameOfWeek,SpanishMonthName,Sum of CalendarQuarter,Sum of CalendarSemester,Sum of CalendarYear,DateKey,Sum of DayNumberOfMonth,Sum of DayNumberOfWeek,Sum of DayNumberOfYear,Sum of FiscalQuarter,Sum of FiscalYear,Năm,Quý,Tháng,Ngày,Sum of MonthNumberOfYear,Sum of FiscalSemester,Sum of WeekNumberOfYear
Friday,August,Vendredi,Août,Viernes,Agosto,3,2,2011,20110819,19,6,231,1,2011,2011,Qtr 3,Tháng Tám,19,8,1,34
Friday,August,Vendredi,Août,Viernes,Agosto,3,2,2011,20110826,26,6,238,1,2011,2011,Qtr 3,Tháng Tám,26,8,1,35
Friday,August,Vendredi,Août,Viernes,Agosto,3,2,2012,20120803,3,6,216,1,2012,2012,Qtr 3,Tháng Tám,3,8,1,31
Friday,August,Vendredi,Août,Viernes,Agosto,3,2,2012,20120810,10,6,223,1,2012,2012,Qtr 3,Tháng Tám,10,8,1,32
Friday,August,Vendredi,Août,Viernes,Agosto,3,2,2012,20120817,17,6,230,1,2012,2012,Qtr 3,Tháng Tám,17,8,1,33
Friday,August,Vendredi,Août,Viernes,Agosto,3,2,2012,20120824,24,6,237,1,2012,2012,Qtr 3,Tháng Tám,24,8,1,34
Friday,August,Vendredi,Août,Viernes,Agosto,3,2,2012,20120831,31,6,244,1,2012,2012,Qtr 3,Tháng Tám,31,8,1,35
Friday,August,Vendredi,Août,Viernes,Agosto,3,2,2013,20130802,2,6,214,1,2013,2013,Qtr 3,Tháng Tám,2,8,1,31
Friday,August,Vendredi,Août,Viernes,Agosto,3,2,2013,20130809,9,6,221,1,2013,2013,Qtr 3,Tháng Tám,9,8,1,32
Friday,August,Vendredi,Août,Viernes,Agosto,3,2,2013,20130816,16,6,228,1,2013,2013,Qtr 3,Tháng Tám,16,8,1,33
Friday,August,Vendredi,Août,Viernes,Agosto,3,2,2013,20130823,23,6,235,1,2013,2013,Qtr 3,Tháng Tám,23,8,1,34
Friday,August,Vendredi,Août,Viernes,Agosto,3,2,2013,20130830,30,6,242,1,2013,2013,Qtr 3,Tháng Tám,30,8,1,35
Friday,August,Vendredi,Août,Viernes,Agosto,3,2,2014,20140801,1,6,213,1,2014,2014,Qtr 3,Tháng Tám,1,8,1,31
Friday,August,Vendredi,Août,Viernes,Agosto,3,2,2014,20140808,8,6,220,1,2014,2014,Qtr 3,Tháng Tám,8,8,1,32
Friday,August,Vendredi,Août,Viernes,Agosto,3,2,2014,20140815,15,6,227,1,2014,2014,Qtr 3,Tháng Tám,15,8,1,33
Friday,August,Vendredi,Août,Viernes,Agosto,3,2,2014,20140822,22,6,234,1,2014,2014,Qtr 3,Tháng Tám,22,8,1,34
Friday,August,Vendredi,Août,Viernes,Agosto,3,2,2014,20140829,29,6,241,1,2014,2014,Qtr 3,Tháng Tám,29,8,1,35
Friday,December,Vendredi,Décembre,Viernes,Diciembre,4,2,2005,20051202,2,6,336,2,2006,2005,Qtr 4,Tháng Mười Hai,2,12,1,49
Friday,December,Vendredi,Décembre,Viernes,Diciembre,4,2,2005,20051209,9,6,343,2,2006,2005,Qtr 4,Tháng Mười Hai,9,12,1,50
Friday,December,Vendredi,Décembre,Viernes,Diciembre,4,2,2005,20051216,16,6,350,2,2006,2005,Qtr 4,Tháng Mười Hai,16,12,1,51
Friday,December,Vendredi,Décembre,Viernes,Diciembre,4,2,2005,20051223,23,6,357,2,2006,2005,Qtr 4,Tháng Mười Hai,23,12,1,52
Friday,December,Vendredi,Décembre,Viernes,Diciembre,4,2,2005,20051230,30,6,364,2,2006,2005,Qtr 4,Tháng Mười Hai,30,12,1,53
Friday,December,Vendredi,Décembre,Viernes,Diciembre,4,2,2006,20061201,1,6,335,2,2007,2006,Qtr 4,Tháng Mười Hai,1,12,1,48
Friday,December,Vendredi,Décembre,Viernes,Diciembre,4,2,2006,20061208,8,6,342,2,2007,2006,Qtr 4,Tháng Mười Hai,8,12,1,49
Friday,December,Vendredi,Décembre,Viernes,Diciembre,4,2,2006,20061215,15,6,349,2,2007,2006,Qtr 4,Tháng Mười Hai,15,12,1,50
Friday,December,Vendredi,Décembre,Viernes,Diciembre,4,2,2006,20061222,22,6,356,2,2007,2006,Qtr 4,Tháng Mười Hai,22,12,1,51
Friday,December,Vendredi,Décembre,Viernes,Diciembre,4,2,2006,20061229,29,6,363,2,2007,2006,Qtr 4,Tháng Mười Hai,29,12,1,52
Friday,December,Vendredi,Décembre,Viernes,Diciembre,4,2,2007,20071207,7,6,341,2,2008,2007,Qtr 4,Tháng Mười Hai,7,12,1,49
Friday,December,Vendredi,Décembre,Viernes,Diciembre,4,2,2007,20071214,14,6,348,2,2008,2007,Qtr 4,Tháng Mười Hai,14,12,1,50
Friday,December,Vendredi,Décembre,Viernes,Diciembre,4,2,2007,20071221,21,6,355,2,2008,2007,Qtr 4,Tháng Mười Hai,21,12,1,51
Friday,December,Vendredi,Décembre,Viernes,Diciembre,4,2,2007,20071228,28,6,362,2,2008,2007,Qtr 4,Tháng Mười Hai,28,12,1,52
Friday,December,Vendredi,Décembre,Viernes,Diciembre,4,2,2008,20081205,5,6,340,2,2009,2008,Qtr 4,Tháng Mười Hai,5,12,1,49
Friday,December,Vendredi,Décembre,Viernes,Diciembre,4,2,2008,20081212,12,6,347,2,2009,2008,Qtr 4,Tháng Mười Hai,12,12,1,50
Friday,December,Vendredi,Décembre,Viernes,Diciembre,4,2,2008,20081219,19,6,354,2,2009,2008,Qtr 4,Tháng Mười Hai,19,12,1,51
Friday,December,Vendredi,Décembre,Viernes,Diciembre,4,2,2008,20081226,26,6,361,2,2009,2008,Qtr 4,Tháng Mười Hai,26,12,1,52
Friday,December,Vendredi,Décembre,Viernes,Diciembre,4,2,2009,20091204,4,6,338,2,2010,2009,Qtr 4,Tháng Mười Hai,4,12,1,49
Friday,December,Vendredi,Décembre,Viernes,Diciembre,4,2,2009,20091211,11,6,345,2,2010,2009,Qtr 4,Tháng Mười Hai,11,12,1,50
Friday,December,Vendredi,Décembre,Viernes,Diciembre,4,2,2009,20091218,18,6,352,2,2010,2009,Qtr 4,Tháng Mười Hai,18,12,1,51
Friday,December,Vendredi,Décembre,Viernes,Diciembre,4,2,2009,20091225,25,6,359,2,2010,2009,Qtr 4,Tháng Mười Hai,25,12,1,52
Friday,December,Vendredi,Décembre,Viernes,Diciembre,4,2,2010,20101203,3,6,337,2,2011,2010,Qtr 4,Tháng Mười Hai,3,12,1,49
Friday,December,Vendredi,Décembre,Viernes,Diciembre,4,2,2010,20101210,10,6,344,2,2011,2010,Qtr 4,Tháng Mười Hai,10,12,1,50
Friday,December,Vendredi,Décembre,Viernes,Diciembre,4,2,2010,20101217,17,6,351,2,2011,2010,Qtr 4,Tháng Mười Hai,17,12,1,51
Friday,December,Vendredi,Décembre,Viernes,Diciembre,4,2,2010,20101224,24,6,358,2,2011,2010,Qtr 4,Tháng Mười Hai,24,12,1,52
Friday,December,Vendredi,Décembre,Viernes,Diciembre,4,2,2010,20101231,31,6,365,2,2011,2010,Qtr 4,Tháng Mười Hai,31,12,1,53
Friday,December,Vendredi,Décembre,Viernes,Diciembre,4,2,2011,20111202,2,6,336,2,2011,2011,Qtr 4,Tháng Mười Hai,2,12,1,49
Friday,December,Vendredi,Décembre,Viernes,Diciembre,4,2,2011,20111209,9,6,343,2,2011,2011,Qtr 4,Tháng Mười Hai,9,12,1,50
Friday,December,Vendredi,Décembre,Viernes,Diciembre,4,2,2011,20111216,16,6,350,2,2011,2011,Qtr 4,Tháng Mười Hai,16,12,1,51
Friday,December,Vendredi,Décembre,Viernes,Diciembre,4,2,2011,20111223,23,6,357,2,2011,2011,Qtr 4,Tháng Mười Hai,23,12,1,52
Friday,December,Vendredi,Décembre,Viernes,Diciembre,4,2,2011,20111230,30,6,364,2,2011,2011,Qtr 4,Tháng Mười Hai,30,12,1,53
Friday,December,Vendredi,Décembre,Viernes,Diciembre,4,2,2012,20121207,7,6,342,2,2012,2012,Qtr 4,Tháng Mười Hai,7,12,1,49
Friday,December,Vendredi,Décembre,Viernes,Diciembre,4,2,2012,20121214,14,6,349,2,2012,2012,Qtr 4,Tháng Mười Hai,14,12,1,50
Friday,December,Vendredi,Décembre,Viernes,Diciembre,4,2,2012,20121221,21,6,356,2,2012,2012,Qtr 4,Tháng Mười Hai,21,12,1,51
Friday,December,Vendredi,Décembre,Viernes,Diciembre,4,2,2012,20121228,28,6,363,2,2012,2012,Qtr 4,Tháng Mười Hai,28,12,1,52
Friday,December,Vendredi,Décembre,Viernes,Diciembre,4,2,2013,20131206,6,6,340,2,2013,2013,Qtr 4,Tháng Mười Hai,6,12,1,49
Friday,December,Vendredi,Décembre,Viernes,Diciembre,4,2,2013,20131213,13,6,347,2,2013,2013,Qtr 4,Tháng Mười Hai,13,12,1,50
Friday,December,Vendredi,Décembre,Viernes,Diciembre,4,2,2013,20131220,20,6,354,2,2013,2013,Qtr 4,Tháng Mười Hai,20,12,1,51
Friday,December,Vendredi,Décembre,Viernes,Diciembre,4,2,2013,20131227,27,6,361,2,2013,2013,Qtr 4,Tháng Mười Hai,27,12,1,52
Friday,December,Vendredi,Décembre,Viernes,Diciembre,4,2,2014,20141205,5,6,339,2,2014,2014,Qtr 4,Tháng Mười Hai,5,12,1,49
Friday,December,Vendredi,Décembre,Viernes,Diciembre,4,2,2014,20141212,12,6,346,2,2014,2014,Qtr 4,Tháng Mười Hai,12,12,1,50
Friday,December,Vendredi,Décembre,Viernes,Diciembre,4,2,2014,20141219,19,6,353,2,2014,2014,Qtr 4,Tháng Mười Hai,19,12,1,51
Friday,December,Vendredi,Décembre,Viernes,Diciembre,4,2,2014,20141226,26,6,360,2,2014,2014,Qtr 4,Tháng Mười Hai,26,12,1,52
Friday,February,Vendredi,Février,Viernes,Febrero,1,1,2005,20050204,4,6,35,3,2005,2005,Qtr 1,Tháng Hai,4,2,2,6
Friday,February,Vendredi,Février,Viernes,Febrero,1,1,2005,20050211,11,6,42,3,2005,2005,Qtr 1,Tháng Hai,11,2,2,7
Friday,February,Vendredi,Février,Viernes,Febrero,1,1,2005,20050218,18,6,49,3,2005,2005,Qtr 1,Tháng Hai,18,2,2,8
Friday,February,Vendredi,Février,Viernes,Febrero,1,1,2005,20050225,25,6,56,3,2005,2005,Qtr 1,Tháng Hai,25,2,2,9
Friday,February,Vendredi,Février,Viernes,Febrero,1,1,2006,20060203,3,6,34,3,2006,2006,Qtr 1,Tháng Hai,3,2,2,5
Friday,February,Vendredi,Février,Viernes,Febrero,1,1,2006,20060210,10,6,41,3,2006,2006,Qtr 1,Tháng Hai,10,2,2,6
Friday,February,Vendredi,Février,Viernes,Febrero,1,1,2006,20060217,17,6,48,3,2006,2006,Qtr 1,Tháng Hai,17,2,2,7
Friday,February,Vendredi,Février,Viernes,Febrero,1,1,2006,20060224,24,6,55,3,2006,2006,Qtr 1,Tháng Hai,24,2,2,8
Friday,February,Vendredi,Février,Viernes,Febrero,1,1,2007,20070202,2,6,33,3,2007,2007,Qtr 1,Tháng Hai,2,2,2,5
Friday,February,Vendredi,Février,Viernes,Febrero,1,1,2007,20070209,9,6,40,3,2007,2007,Qtr 1,Tháng Hai,9,2,2,6
Friday,February,Vendredi,Février,Viernes,Febrero,1,1,2007,20070216,16,6,47,3,2007,2007,Qtr 1,Tháng Hai,16,2,2,7
Friday,February,Vendredi,Février,Viernes,Febrero,1,1,2007,20070223,23,6,54,3,2007,2007,Qtr 1,Tháng Hai,23,2,2,8
Friday,February,Vendredi,Février,Viernes,Febrero,1,1,2008,20080201,1,6,32,3,2008,2008,Qtr 1,Tháng Hai,1,2,2,5
Friday,February,Vendredi,Février,Viernes,Febrero,1,1,2008,20080208,8,6,39,3,2008,2008,Qtr 1,Tháng Hai,8,2,2,6
Friday,February,Vendredi,Février,Viernes,Febrero,1,1,2008,20080215,15,6,46,3,2008,2008,Qtr 1,Tháng Hai,15,2,2,7
Friday,February,Vendredi,Février,Viernes,Febrero,1,1,2008,20080222,22,6,53,3,2008,2008,Qtr 1,Tháng Hai,22,2,2,8
Friday,February,Vendredi,Février,Viernes,Febrero,1,1,2008,20080229,29,6,60,3,2008,2008,Qtr 1,Tháng Hai,29,2,2,9
Friday,February,Vendredi,Février,Viernes,Febrero,1,1,2009,20090206,6,6,37,3,2009,2009,Qtr 1,Tháng Hai,6,2,2,6
Friday,February,Vendredi,Février,Viernes,Febrero,1,1,2009,20090213,13,6,44,3,2009,2009,Qtr 1,Tháng Hai,13,2,2,7
Friday,February,Vendredi,Février,Viernes,Febrero,1,1,2009,20090220,20,6,51,3,2009,2009,Qtr 1,Tháng Hai,20,2,2,8
Friday,February,Vendredi,Février,Viernes,Febrero,1,1,2009,20090227,27,6,58,3,2009,2009,Qtr 1,Tháng Hai,27,2,2,9
Friday,February,Vendredi,Février,Viernes,Febrero,1,1,2010,20100205,5,6,36,3,2010,2010,Qtr 1,Tháng Hai,5,2,2,6
Friday,February,Vendredi,Février,Viernes,Febrero,1,1,2010,20100212,12,6,43,3,2010,2010,Qtr 1,Tháng Hai,12,2,2,7
Friday,February,Vendredi,Février,Viernes,Febrero,1,1,2010,20100219,19,6,50,3,2010,2010,Qtr 1,Tháng Hai,19,2,2,8
Friday,February,Vendredi,Février,Viernes,Febrero,1,1,2010,20100226,26,6,57,3,2010,2010,Qtr 1,Tháng Hai,26,2,2,9
Friday,February,Vendredi,Février,Viernes,Febrero,1,1,2011,20110204,4,6,35,3,2010,2011,Qtr 1,Tháng Hai,4,2,2,6
Friday,February,Vendredi,Février,Viernes,Febrero,1,1,2011,20110211,11,6,42,3,2010,2011,Qtr 1,Tháng Hai,11,2,2,7
Friday,February,Vendredi,Février,Viernes,Febrero,1,1,2011,20110218,18,6,49,3,2010,2011,Qtr 1,Tháng Hai,18,2,2,8
Friday,February,Vendredi,Février,Viernes,Febrero,1,1,2011,20110225,25,6,56,3,2010,2011,Qtr 1,Tháng Hai,25,2,2,9
Friday,February,Vendredi,Février,Viernes,Febrero,1,1,2012,20120203,3,6,34,3,2011,2012,Qtr 1,Tháng Hai,3,2,2,5
Friday,February,Vendredi,Février,Viernes,Febrero,1,1,2012,20120210,10,6,41,3,2011,2012,Qtr 1,Tháng Hai,10,2,2,6
Friday,February,Vendredi,Février,Viernes,Febrero,1,1,2012,20120217,17,6,48,3,2011,2012,Qtr 1,Tháng Hai,17,2,2,7
Friday,February,Vendredi,Février,Viernes,Febrero,1,1,2012,20120224,24,6,55,3,2011,2012,Qtr 1,Tháng Hai,24,2,2,8
Friday,February,Vendredi,Février,Viernes,Febrero,1,1,2013,20130201,1,6,32,3,2012,2013,Qtr 1,Tháng Hai,1,2,2,5
Friday,February,Vendredi,Février,Viernes,Febrero,1,1,2013,20130208,8,6,39,3,2012,2013,Qtr 1,Tháng Hai,8,2,2,6
Friday,February,Vendredi,Février,Viernes,Febrero,1,1,2013,20130215,15,6,46,3,2012,2013,Qtr 1,Tháng Hai,15,2,2,7
Friday,February,Vendredi,Février,Viernes,Febrero,1,1,2013,20130222,22,6,53,3,2012,2013,Qtr 1,Tháng Hai,22,2,2,8
Friday,February,Vendredi,Février,Viernes,Febrero,1,1,2014,20140207,7,6,38,3,2013,2014,Qtr 1,Tháng Hai,7,2,2,6
Friday,February,Vendredi,Février,Viernes,Febrero,1,1,2014,20140214,14,6,45,3,2013,2014,Qtr 1,Tháng Hai,14,2,2,7
Friday,February,Vendredi,Février,Viernes,Febrero,1,1,2014,20140221,21,6,52,3,2013,2014,Qtr 1,Tháng Hai,21,2,2,8
Friday,February,Vendredi,Février,Viernes,Febrero,1,1,2014,20140228,28,6,59,3,2013,2014,Qtr 1,Tháng Hai,28,2,2,9
Friday,January,Vendredi,Janvier,Viernes,Enero,1,1,2005,20050107,7,6,7,3,2005,2005,Qtr 1,Tháng Giêng,7,1,2,2
Friday,January,Vendredi,Janvier,Viernes,Enero,1,1,2005,20050114,14,6,14,3,2005,2005,Qtr 1,Tháng Giêng,14,1,2,3
Friday,January,Vendredi,Janvier,Viernes,Enero,1,1,2005,20050121,21,6,21,3,2005,2005,Qtr 1,Tháng Giêng,21,1,2,4
Friday,January,Vendredi,Janvier,Viernes,Enero,1,1,2005,20050128,28,6,28,3,2005,2005,Qtr 1,Tháng Giêng,28,1,2,5
Friday,January,Vendredi,Janvier,Viernes,Enero,1,1,2006,20060106,6,6,6,3,2006,2006,Qtr 1,Tháng Giêng,6,1,2,1
Friday,January,Vendredi,Janvier,Viernes,Enero,1,1,2006,20060113,13,6,13,3,2006,2006,Qtr 1,Tháng Giêng,13,1,2,2
Friday,January,Vendredi,Janvier,Viernes,Enero,1,1,2006,20060120,20,6,20,3,2006,2006,Qtr 1,Tháng Giêng,20,1,2,3
Friday,January,Vendredi,Janvier,Viernes,Enero,1,1,2006,20060127,27,6,27,3,2006,2006,Qtr 1,Tháng Giêng,27,1,2,4
