SalesOrderNumber,Sum of SalesOrderLineNumber,Sum of TaxAmt,Sum of UnitPrice,CurrencyKey,Sum of TotalProductCost,CarrierTrackingNumber,Count of CustomerKey,CustomerPONumber,Sum of DiscountAmount,Năm,Quý,Tháng,Ngày,Count of DueDateKey,Sum of ExtendedAmount,Sum of Freight,Năm,Quý,Tháng,Ngày,Count of OrderDateKey,Sum of OrderQuantity,Count of ProductKey,Sum of ProductStandardCost,Count of PromotionKey,Sum of RevisionNumber,Sum of SalesAmount,Count of SalesTerritoryKey,Năm,Quý,Tháng,Ngày,Count of ShipDateKey,Sum of UnitPriceDiscountPct
SO43707,1,$286.2616,$3578.27,100,$2171.2942,,1,,0,2011,Qtr 1,Tháng Giêng,12,1,$3578.27,$89.4568,2010,Qtr 4,Tháng Mười Hai,31,1,1,1,$2171.2942,1,1,$3578.27,1,2011,Qtr 1,Tháng Giêng,7,1,0
SO43708,1,$55.9279,$699.0982,98,$413.1463,,1,,0,2011,Qtr 1,Tháng Giêng,12,1,$699.0982,$17.4775,2010,Qtr 4,Tháng Mười Hai,31,1,1,1,$413.1463,1,1,$699.0982,1,2011,Qtr 1,Tháng Giêng,7,1,0
SO43709,1,$286.2616,$3578.27,6,$2171.2942,,1,,0,2011,Qtr 1,Tháng Giêng,12,1,$3578.27,$89.4568,2010,Qtr 4,Tháng Mười Hai,31,1,1,1,$2171.2942,1,1,$3578.27,1,2011,Qtr 1,Tháng Giêng,7,1,0
SO43710,1,$286.2616,$3578.27,6,$2171.2942,,1,,0,2011,Qtr 1,Tháng Giêng,12,1,$3578.27,$89.4568,2010,Qtr 4,Tháng Mười Hai,31,1,1,1,$2171.2942,1,1,$3578.27,1,2011,Qtr 1,Tháng Giêng,7,1,0
SO43711,1,$286.2616,$3578.27,100,$2171.2942,,1,,0,2011,Qtr 1,Tháng Giêng,13,1,$3578.27,$89.4568,2011,Qtr 1,Tháng Giêng,1,1,1,1,$2171.2942,1,1,$3578.27,1,2011,Qtr 1,Tháng Giêng,8,1,0
SO43712,1,$286.2616,$3578.27,29,$2171.2942,,1,,0,2011,Qtr 1,Tháng Giêng,13,1,$3578.27,$89.4568,2011,Qtr 1,Tháng Giêng,1,1,1,1,$2171.2942,1,1,$3578.27,1,2011,Qtr 1,Tháng Giêng,8,1,0
SO43713,1,$286.2616,$3578.27,100,$2171.2942,,1,,0,2011,Qtr 1,Tháng Giêng,14,1,$3578.27,$89.4568,2011,Qtr 1,Tháng Giêng,2,1,1,1,$2171.2942,1,1,$3578.27,1,2011,Qtr 1,Tháng Giêng,9,1,0
SO43714,1,$286.2616,$3578.27,98,$2171.2942,,1,,0,2011,Qtr 1,Tháng Giêng,14,1,$3578.27,$89.4568,2011,Qtr 1,Tháng Giêng,2,1,1,1,$2171.2942,1,1,$3578.27,1,2011,Qtr 1,Tháng Giêng,9,1,0
SO43715,1,$286.2616,$3578.27,6,$2171.2942,,1,,0,2011,Qtr 1,Tháng Giêng,14,1,$3578.27,$89.4568,2011,Qtr 1,Tháng Giêng,2,1,1,1,$2171.2942,1,1,$3578.27,1,2011,Qtr 1,Tháng Giêng,9,1,0
SO43716,1,$286.2616,$3578.27,6,$2171.2942,,1,,0,2011,Qtr 1,Tháng Giêng,14,1,$3578.27,$89.4568,2011,Qtr 1,Tháng Giêng,2,1,1,1,$2171.2942,1,1,$3578.27,1,2011,Qtr 1,Tháng Giêng,9,1,0
SO43717,1,$55.9279,$699.0982,6,$413.1463,,1,,0,2011,Qtr 1,Tháng Giêng,14,1,$699.0982,$17.4775,2011,Qtr 1,Tháng Giêng,2,1,1,1,$413.1463,1,1,$699.0982,1,2011,Qtr 1,Tháng Giêng,9,1,0
SO43718,1,$286.2616,$3578.27,100,$2171.2942,,1,,0,2011,Qtr 1,Tháng Giêng,15,1,$3578.27,$89.4568,2011,Qtr 1,Tháng Giêng,3,1,1,1,$2171.2942,1,1,$3578.27,1,2011,Qtr 1,Tháng Giêng,10,1,0
SO43719,1,$286.2616,$3578.27,100,$2171.2942,,1,,0,2011,Qtr 1,Tháng Giêng,15,1,$3578.27,$89.4568,2011,Qtr 1,Tháng Giêng,3,1,1,1,$2171.2942,1,1,$3578.27,1,2011,Qtr 1,Tháng Giêng,10,1,0
SO43720,1,$286.2616,$3578.27,29,$2171.2942,,1,,0,2011,Qtr 1,Tháng Giêng,15,1,$3578.27,$89.4568,2011,Qtr 1,Tháng Giêng,3,1,1,1,$2171.2942,1,1,$3578.27,1,2011,Qtr 1,Tháng Giêng,10,1,0
SO43721,1,$286.2616,$3578.27,98,$2171.2942,,1,,0,2011,Qtr 1,Tháng Giêng,15,1,$3578.27,$89.4568,2011,Qtr 1,Tháng Giêng,3,1,1,1,$2171.2942,1,1,$3578.27,1,2011,Qtr 1,Tháng Giêng,10,1,0
SO43722,1,$286.2616,$3578.27,98,$2171.2942,,1,,0,2011,Qtr 1,Tháng Giêng,16,1,$3578.27,$89.4568,2011,Qtr 1,Tháng Giêng,4,1,1,1,$2171.2942,1,1,$3578.27,1,2011,Qtr 1,Tháng Giêng,11,1,0
SO43723,1,$55.9279,$699.0982,100,$413.1463,,1,,0,2011,Qtr 1,Tháng Giêng,16,1,$699.0982,$17.4775,2011,Qtr 1,Tháng Giêng,4,1,1,1,$413.1463,1,1,$699.0982,1,2011,Qtr 1,Tháng Giêng,11,1,0
SO43724,1,$286.2616,$3578.27,6,$2171.2942,,1,,0,2011,Qtr 1,Tháng Giêng,16,1,$3578.27,$89.4568,2011,Qtr 1,Tháng Giêng,4,1,1,1,$2171.2942,1,1,$3578.27,1,2011,Qtr 1,Tháng Giêng,11,1,0
SO43725,1,$286.2616,$3578.27,29,$2171.2942,,1,,0,2011,Qtr 1,Tháng Giêng,17,1,$3578.27,$89.4568,2011,Qtr 1,Tháng Giêng,5,1,1,1,$2171.2942,1,1,$3578.27,1,2011,Qtr 1,Tháng Giêng,12,1,0
SO43726,1,$55.9279,$699.0982,100,$413.1463,,1,,0,2011,Qtr 1,Tháng Giêng,17,1,$699.0982,$17.4775,2011,Qtr 1,Tháng Giêng,5,1,1,1,$413.1463,1,1,$699.0982,1,2011,Qtr 1,Tháng Giêng,12,1,0
SO43727,1,$286.2616,$3578.27,6,$2171.2942,,1,,0,2011,Qtr 1,Tháng Giêng,17,1,$3578.27,$89.4568,2011,Qtr 1,Tháng Giêng,5,1,1,1,$2171.2942,1,1,$3578.27,1,2011,Qtr 1,Tháng Giêng,12,1,0
SO43728,1,$286.2616,$3578.27,100,$2171.2942,,1,,0,2011,Qtr 1,Tháng Giêng,18,1,$3578.27,$89.4568,2011,Qtr 1,Tháng Giêng,6,1,1,1,$2171.2942,1,1,$3578.27,1,2011,Qtr 1,Tháng Giêng,13,1,0
SO43729,1,$271.9992,$3399.99,98,$1912.1544,,1,,0,2011,Qtr 1,Tháng Giêng,18,1,$3399.99,$84.9998,2011,Qtr 1,Tháng Giêng,6,1,1,1,$1912.1544,1,1,$3399.99,1,2011,Qtr 1,Tháng Giêng,13,1,0
SO43730,1,$271.9992,$3399.99,100,$1912.1544,,1,,0,2011,Qtr 1,Tháng Giêng,18,1,$3399.99,$84.9998,2011,Qtr 1,Tháng Giêng,6,1,1,1,$1912.1544,1,1,$3399.99,1,2011,Qtr 1,Tháng Giêng,13,1,0
SO43731,1,$286.2616,$3578.27,6,$2171.2942,,1,,0,2011,Qtr 1,Tháng Giêng,18,1,$3578.27,$89.4568,2011,Qtr 1,Tháng Giêng,6,1,1,1,$2171.2942,1,1,$3578.27,1,2011,Qtr 1,Tháng Giêng,13,1,0
SO43732,1,$269.9992,$3374.99,6,$1898.0944,,1,,0,2011,Qtr 1,Tháng Giêng,18,1,$3374.99,$84.3748,2011,Qtr 1,Tháng Giêng,6,1,1,1,$1898.0944,1,1,$3374.99,1,2011,Qtr 1,Tháng Giêng,13,1,0
SO43733,1,$286.2616,$3578.27,100,$2171.2942,,1,,0,2011,Qtr 1,Tháng Giêng,18,1,$3578.27,$89.4568,2011,Qtr 1,Tháng Giêng,6,1,1,1,$2171.2942,1,1,$3578.27,1,2011,Qtr 1,Tháng Giêng,13,1,0
SO43734,1,$286.2616,$3578.27,100,$2171.2942,,1,,0,2011,Qtr 1,Tháng Giêng,19,1,$3578.27,$89.4568,2011,Qtr 1,Tháng Giêng,7,1,1,1,$2171.2942,1,1,$3578.27,1,2011,Qtr 1,Tháng Giêng,14,1,0
SO43735,1,$286.2616,$3578.27,6,$2171.2942,,1,,0,2011,Qtr 1,Tháng Giêng,19,1,$3578.27,$89.4568,2011,Qtr 1,Tháng Giêng,7,1,1,1,$2171.2942,1,1,$3578.27,1,2011,Qtr 1,Tháng Giêng,14,1,0
SO43736,1,$271.9992,$3399.99,6,$1912.1544,,1,,0,2011,Qtr 1,Tháng Giêng,19,1,$3399.99,$84.9998,2011,Qtr 1,Tháng Giêng,7,1,1,1,$1912.1544,1,1,$3399.99,1,2011,Qtr 1,Tháng Giêng,14,1,0
SO43737,1,$286.2616,$3578.27,29,$2171.2942,,1,,0,2011,Qtr 1,Tháng Giêng,20,1,$3578.27,$89.4568,2011,Qtr 1,Tháng Giêng,8,1,1,1,$2171.2942,1,1,$3578.27,1,2011,Qtr 1,Tháng Giêng,15,1,0
SO43738,1,$286.2616,$3578.27,39,$2171.2942,,1,,0,2011,Qtr 1,Tháng Giêng,20,1,$3578.27,$89.4568,2011,Qtr 1,Tháng Giêng,8,1,1,1,$2171.2942,1,1,$3578.27,1,2011,Qtr 1,Tháng Giêng,15,1,0
SO43739,1,$286.2616,$3578.27,98,$2171.2942,,1,,0,2011,Qtr 1,Tháng Giêng,20,1,$3578.27,$89.4568,2011,Qtr 1,Tháng Giêng,8,1,1,1,$2171.2942,1,1,$3578.27,1,2011,Qtr 1,Tháng Giêng,15,1,0
SO43740,1,$286.2616,$3578.27,6,$2171.2942,,1,,0,2011,Qtr 1,Tháng Giêng,20,1,$3578.27,$89.4568,2011,Qtr 1,Tháng Giêng,8,1,1,1,$2171.2942,1,1,$3578.27,1,2011,Qtr 1,Tháng Giêng,15,1,0
SO43741,1,$286.2616,$3578.27,100,$2171.2942,,1,,0,2011,Qtr 1,Tháng Giêng,21,1,$3578.27,$89.4568,2011,Qtr 1,Tháng Giêng,9,1,1,1,$2171.2942,1,1,$3578.27,1,2011,Qtr 1,Tháng Giêng,16,1,0
SO43742,1,$286.2616,$3578.27,98,$2171.2942,,1,,0,2011,Qtr 1,Tháng Giêng,21,1,$3578.27,$89.4568,2011,Qtr 1,Tháng Giêng,9,1,1,1,$2171.2942,1,1,$3578.27,1,2011,Qtr 1,Tháng Giêng,16,1,0
SO43743,1,$271.9992,$3399.99,6,$1912.1544,,1,,0,2011,Qtr 1,Tháng Giêng,21,1,$3399.99,$84.9998,2011,Qtr 1,Tháng Giêng,9,1,1,1,$1912.1544,1,1,$3399.99,1,2011,Qtr 1,Tháng Giêng,16,1,0
SO43744,1,$286.2616,$3578.27,6,$2171.2942,,1,,0,2011,Qtr 1,Tháng Giêng,21,1,$3578.27,$89.4568,2011,Qtr 1,Tháng Giêng,9,1,1,1,$2171.2942,1,1,$3578.27,1,2011,Qtr 1,Tháng Giêng,16,1,0
SO43745,1,$286.2616,$3578.27,6,$2171.2942,,1,,0,2011,Qtr 1,Tháng Giêng,22,1,$3578.27,$89.4568,2011,Qtr 1,Tháng Giêng,10,1,1,1,$2171.2942,1,1,$3578.27,1,2011,Qtr 1,Tháng Giêng,17,1,0
SO43746,1,$286.2616,$3578.27,6,$2171.2942,,1,,0,2011,Qtr 1,Tháng Giêng,22,1,$3578.27,$89.4568,2011,Qtr 1,Tháng Giêng,10,1,1,1,$2171.2942,1,1,$3578.27,1,2011,Qtr 1,Tháng Giêng,17,1,0
SO43747,1,$286.2616,$3578.27,100,$2171.2942,,1,,0,2011,Qtr 1,Tháng Giêng,23,1,$3578.27,$89.4568,2011,Qtr 1,Tháng Giêng,11,1,1,1,$2171.2942,1,1,$3578.27,1,2011,Qtr 1,Tháng Giêng,18,1,0
SO43748,1,$286.2616,$3578.27,100,$2171.2942,,1,,0,2011,Qtr 1,Tháng Giêng,23,1,$3578.27,$89.4568,2011,Qtr 1,Tháng Giêng,11,1,1,1,$2171.2942,1,1,$3578.27,1,2011,Qtr 1,Tháng Giêng,18,1,0
SO43749,1,$286.2616,$3578.27,100,$2171.2942,,1,,0,2011,Qtr 1,Tháng Giêng,23,1,$3578.27,$89.4568,2011,Qtr 1,Tháng Giêng,11,1,1,1,$2171.2942,1,1,$3578.27,1,2011,Qtr 1,Tháng Giêng,18,1,0
SO43750,1,$286.2616,$3578.27,39,$2171.2942,,1,,0,2011,Qtr 1,Tháng Giêng,23,1,$3578.27,$89.4568,2011,Qtr 1,Tháng Giêng,11,1,1,1,$2171.2942,1,1,$3578.27,1,2011,Qtr 1,Tháng Giêng,18,1,0
SO43751,1,$286.2616,$3578.27,39,$2171.2942,,1,,0,2011,Qtr 1,Tháng Giêng,23,1,$3578.27,$89.4568,2011,Qtr 1,Tháng Giêng,11,1,1,1,$2171.2942,1,1,$3578.27,1,2011,Qtr 1,Tháng Giêng,18,1,0
SO43752,1,$286.2616,$3578.27,29,$2171.2942,,1,,0,2011,Qtr 1,Tháng Giêng,23,1,$3578.27,$89.4568,2011,Qtr 1,Tháng Giêng,11,1,1,1,$2171.2942,1,1,$3578.27,1,2011,Qtr 1,Tháng Giêng,18,1,0
SO43753,1,$286.2616,$3578.27,6,$2171.2942,,1,,0,2011,Qtr 1,Tháng Giêng,23,1,$3578.27,$89.4568,2011,Qtr 1,Tháng Giêng,11,1,1,1,$2171.2942,1,1,$3578.27,1,2011,Qtr 1,Tháng Giêng,18,1,0
SO43754,1,$286.2616,$3578.27,100,$2171.2942,,1,,0,2011,Qtr 1,Tháng Giêng,24,1,$3578.27,$89.4568,2011,Qtr 1,Tháng Giêng,12,1,1,1,$2171.2942,1,1,$3578.27,1,2011,Qtr 1,Tháng Giêng,19,1,0
SO43755,1,$286.2616,$3578.27,100,$2171.2942,,1,,0,2011,Qtr 1,Tháng Giêng,24,1,$3578.27,$89.4568,2011,Qtr 1,Tháng Giêng,12,1,1,1,$2171.2942,1,1,$3578.27,1,2011,Qtr 1,Tháng Giêng,19,1,0
SO43756,1,$55.9279,$699.0982,98,$413.1463,,1,,0,2011,Qtr 1,Tháng Giêng,24,1,$699.0982,$17.4775,2011,Qtr 1,Tháng Giêng,12,1,1,1,$413.1463,1,1,$699.0982,1,2011,Qtr 1,Tháng Giêng,19,1,0
SO43757,1,$269.9992,$3374.99,6,$1898.0944,,1,,0,2011,Qtr 1,Tháng Giêng,24,1,$3374.99,$84.3748,2011,Qtr 1,Tháng Giêng,12,1,1,1,$1898.0944,1,1,$3374.99,1,2011,Qtr 1,Tháng Giêng,19,1,0
SO43758,1,$286.2616,$3578.27,100,$2171.2942,,1,,0,2011,Qtr 1,Tháng Giêng,25,1,$3578.27,$89.4568,2011,Qtr 1,Tháng Giêng,13,1,1,1,$2171.2942,1,1,$3578.27,1,2011,Qtr 1,Tháng Giêng,20,1,0
SO43759,1,$286.2616,$3578.27,29,$2171.2942,,1,,0,2011,Qtr 1,Tháng Giêng,25,1,$3578.27,$89.4568,2011,Qtr 1,Tháng Giêng,13,1,1,1,$2171.2942,1,1,$3578.27,1,2011,Qtr 1,Tháng Giêng,20,1,0
SO43760,1,$286.2616,$3578.27,6,$2171.2942,,1,,0,2011,Qtr 1,Tháng Giêng,25,1,$3578.27,$89.4568,2011,Qtr 1,Tháng Giêng,13,1,1,1,$2171.2942,1,1,$3578.27,1,2011,Qtr 1,Tháng Giêng,20,1,0
SO43761,1,$286.2616,$3578.27,6,$2171.2942,,1,,0,2011,Qtr 1,Tháng Giêng,25,1,$3578.27,$89.4568,2011,Qtr 1,Tháng Giêng,13,1,1,1,$2171.2942,1,1,$3578.27,1,2011,Qtr 1,Tháng Giêng,20,1,0
SO43762,1,$286.2616,$3578.27,100,$2171.2942,,1,,0,2011,Qtr 1,Tháng Giêng,26,1,$3578.27,$89.4568,2011,Qtr 1,Tháng Giêng,14,1,1,1,$2171.2942,1,1,$3578.27,1,2011,Qtr 1,Tháng Giêng,21,1,0
SO43763,1,$286.2616,$3578.27,6,$2171.2942,,1,,0,2011,Qtr 1,Tháng Giêng,26,1,$3578.27,$89.4568,2011,Qtr 1,Tháng Giêng,14,1,1,1,$2171.2942,1,1,$3578.27,1,2011,Qtr 1,Tháng Giêng,21,1,0
SO43764,1,$286.2616,$3578.27,6,$2171.2942,,1,,0,2011,Qtr 1,Tháng Giêng,26,1,$3578.27,$89.4568,2011,Qtr 1,Tháng Giêng,14,1,1,1,$2171.2942,1,1,$3578.27,1,2011,Qtr 1,Tháng Giêng,21,1,0
SO43765,1,$271.9992,$3399.99,6,$1912.1544,,1,,0,2011,Qtr 1,Tháng Giêng,26,1,$3399.99,$84.9998,2011,Qtr 1,Tháng Giêng,14,1,1,1,$1912.1544,1,1,$3399.99,1,2011,Qtr 1,Tháng Giêng,21,1,0
SO43766,1,$286.2616,$3578.27,6,$2171.2942,,1,,0,2011,Qtr 1,Tháng Giêng,27,1,$3578.27,$89.4568,2011,Qtr 1,Tháng Giêng,15,1,1,1,$2171.2942,1,1,$3578.27,1,2011,Qtr 1,Tháng Giêng,22,1,0
SO43767,1,$269.9992,$3374.99,6,$1898.0944,,1,,0,2011,Qtr 1,Tháng Giêng,27,1,$3374.99,$84.3748,2011,Qtr 1,Tháng Giêng,15,1,1,1,$1898.0944,1,1,$3374.99,1,2011,Qtr 1,Tháng Giêng,22,1,0
SO43768,1,$286.2616,$3578.27,100,$2171.2942,,1,,0,2011,Qtr 1,Tháng Giêng,28,1,$3578.27,$89.4568,2011,Qtr 1,Tháng Giêng,16,1,1,1,$2171.2942,1,1,$3578.27,1,2011,Qtr 1,Tháng Giêng,23,1,0
SO43769,1,$286.2616,$3578.27,19,$2171.2942,,1,,0,2011,Qtr 1,Tháng Giêng,28,1,$3578.27,$89.4568,2011,Qtr 1,Tháng Giêng,16,1,1,1,$2171.2942,1,1,$3578.27,1,2011,Qtr 1,Tháng Giêng,23,1,0
SO43770,1,$286.2616,$3578.27,100,$2171.2942,,1,,0,2011,Qtr 1,Tháng Giêng,28,1,$3578.27,$89.4568,2011,Qtr 1,Tháng Giêng,16,1,1,1,$2171.2942,1,1,$3578.27,1,2011,Qtr 1,Tháng Giêng,23,1,0
SO43771,1,$55.9279,$699.0982,100,$413.1463,,1,,0,2011,Qtr 1,Tháng Giêng,28,1,$699.0982,$17.4775,2011,Qtr 1,Tháng Giêng,16,1,1,1,$413.1463,1,1,$699.0982,1,2011,Qtr 1,Tháng Giêng,23,1,0
SO43772,1,$286.2616,$3578.27,6,$2171.2942,,1,,0,2011,Qtr 1,Tháng Giêng,28,1,$3578.27,$89.4568,2011,Qtr 1,Tháng Giêng,16,1,1,1,$2171.2942,1,1,$3578.27,1,2011,Qtr 1,Tháng Giêng,23,1,0
SO43773,1,$286.2616,$3578.27,6,$2171.2942,,1,,0,2011,Qtr 1,Tháng Giêng,28,1,$3578.27,$89.4568,2011,Qtr 1,Tháng Giêng,16,1,1,1,$2171.2942,1,1,$3578.27,1,2011,Qtr 1,Tháng Giêng,23,1,0
SO43774,1,$286.2616,$3578.27,6,$2171.2942,,1,,0,2011,Qtr 1,Tháng Giêng,28,1,$3578.27,$89.4568,2011,Qtr 1,Tháng Giêng,16,1,1,1,$2171.2942,1,1,$3578.27,1,2011,Qtr 1,Tháng Giêng,23,1,0
SO43775,1,$271.9992,$3399.99,6,$1912.1544,,1,,0,2011,Qtr 1,Tháng Giêng,28,1,$3399.99,$84.9998,2011,Qtr 1,Tháng Giêng,16,1,1,1,$1912.1544,1,1,$3399.99,1,2011,Qtr 1,Tháng Giêng,23,1,0
SO43776,1,$286.2616,$3578.27,29,$2171.2942,,1,,0,2011,Qtr 1,Tháng Giêng,29,1,$3578.27,$89.4568,2011,Qtr 1,Tháng Giêng,17,1,1,1,$2171.2942,1,1,$3578.27,1,2011,Qtr 1,Tháng Giêng,24,1,0
SO43777,1,$286.2616,$3578.27,6,$2171.2942,,1,,0,2011,Qtr 1,Tháng Giêng,29,1,$3578.27,$89.4568,2011,Qtr 1,Tháng Giêng,17,1,1,1,$2171.2942,1,1,$3578.27,1,2011,Qtr 1,Tháng Giêng,24,1,0
SO43778,1,$271.9992,$3399.99,6,$1912.1544,,1,,0,2011,Qtr 1,Tháng Giêng,29,1,$3399.99,$84.9998,2011,Qtr 1,Tháng Giêng,17,1,1,1,$1912.1544,1,1,$3399.99,1,2011,Qtr 1,Tháng Giêng,24,1,0
SO43779,1,$55.9279,$699.0982,6,$413.1463,,1,,0,2011,Qtr 1,Tháng Giêng,29,1,$699.0982,$17.4775,2011,Qtr 1,Tháng Giêng,17,1,1,1,$413.1463,1,1,$699.0982,1,2011,Qtr 1,Tháng Giêng,24,1,0
SO43780,1,$286.2616,$3578.27,39,$2171.2942,,1,,0,2011,Qtr 1,Tháng Giêng,30,1,$3578.27,$89.4568,2011,Qtr 1,Tháng Giêng,18,1,1,1,$2171.2942,1,1,$3578.27,1,2011,Qtr 1,Tháng Giêng,25,1,0
SO43781,1,$286.2616,$3578.27,6,$2171.2942,,1,,0,2011,Qtr 1,Tháng Giêng,30,1,$3578.27,$89.4568,2011,Qtr 1,Tháng Giêng,18,1,1,1,$2171.2942,1,1,$3578.27,1,2011,Qtr 1,Tháng Giêng,25,1,0
SO43782,1,$286.2616,$3578.27,6,$2171.2942,,1,,0,2011,Qtr 1,Tháng Giêng,30,1,$3578.27,$89.4568,2011,Qtr 1,Tháng Giêng,18,1,1,1,$2171.2942,1,1,$3578.27,1,2011,Qtr 1,Tháng Giêng,25,1,0
SO43783,1,$286.2616,$3578.27,6,$2171.2942,,1,,0,2011,Qtr 1,Tháng Giêng,30,1,$3578.27,$89.4568,2011,Qtr 1,Tháng Giêng,18,1,1,1,$2171.2942,1,1,$3578.27,1,2011,Qtr 1,Tháng Giêng,25,1,0
SO43784,1,$286.2616,$3578.27,100,$2171.2942,,1,,0,2011,Qtr 1,Tháng Giêng,31,1,$3578.27,$89.4568,2011,Qtr 1,Tháng Giêng,19,1,1,1,$2171.2942,1,1,$3578.27,1,2011,Qtr 1,Tháng Giêng,26,1,0
SO43785,1,$286.2616,$3578.27,39,$2171.2942,,1,,0,2011,Qtr 1,Tháng Giêng,31,1,$3578.27,$89.4568,2011,Qtr 1,Tháng Giêng,19,1,1,1,$2171.2942,1,1,$3578.27,1,2011,Qtr 1,Tháng Giêng,26,1,0
SO43786,1,$286.2616,$3578.27,39,$2171.2942,,1,,0,2011,Qtr 1,Tháng Giêng,31,1,$3578.27,$89.4568,2011,Qtr 1,Tháng Giêng,19,1,1,1,$2171.2942,1,1,$3578.27,1,2011,Qtr 1,Tháng Giêng,26,1,0
SO43787,1,$271.9992,$3399.99,29,$1912.1544,,1,,0,2011,Qtr 1,Tháng Giêng,31,1,$3399.99,$84.9998,2011,Qtr 1,Tháng Giêng,19,1,1,1,$1912.1544,1,1,$3399.99,1,2011,Qtr 1,Tháng Giêng,26,1,0
SO43788,1,$269.9992,$3374.99,98,$1898.0944,,1,,0,2011,Qtr 1,Tháng Giêng,31,1,$3374.99,$84.3748,2011,Qtr 1,Tháng Giêng,19,1,1,1,$1898.0944,1,1,$3374.99,1,2011,Qtr 1,Tháng Giêng,26,1,0
SO43789,1,$269.9992,$3374.99,100,$1898.0944,,1,,0,2011,Qtr 1,Tháng Giêng,31,1,$3374.99,$84.3748,2011,Qtr 1,Tháng Giêng,19,1,1,1,$1898.0944,1,1,$3374.99,1,2011,Qtr 1,Tháng Giêng,26,1,0
SO43790,1,$271.9992,$3399.99,100,$1912.1544,,1,,0,2011,Qtr 1,Tháng Giêng,31,1,$3399.99,$84.9998,2011,Qtr 1,Tháng Giêng,19,1,1,1,$1912.1544,1,1,$3399.99,1,2011,Qtr 1,Tháng Giêng,26,1,0
SO43791,1,$286.2616,$3578.27,6,$2171.2942,,1,,0,2011,Qtr 1,Tháng Giêng,31,1,$3578.27,$89.4568,2011,Qtr 1,Tháng Giêng,19,1,1,1,$2171.2942,1,1,$3578.27,1,2011,Qtr 1,Tháng Giêng,26,1,0
